,psu,hhld,sn,abs_sex,abs_age,abs_relhh,abs_edulvl,abs_rsn,abs_nummonth,abs_living,l10_1digit,l10_nsco
10768,1813,19,1,Male,17,Son/Daughter,Class 6,4,12,Kathmandu,I,8322
10769,1813,19,2,Male,20,Son/Daughter,Class 5,4,36,Malaysia,0,0
10770,1813,3,1,Male,26,Son/Daughter,Class 9,1,1,Kailali,H,7231
10771,1813,3,2,Female,24,Daughter-in-law,SLC and equiv.,5,1,Kailali,0,0
10772,1813,3,3,Male,0,Grand son/daughter,NA,5,1,Kailali,,NA
10773,1813,9,1,Male,23,Son/Daughter,Class 9,4,1,Kanchanpur,I,8212
10774,1813,6,1,Male,22,Son/Daughter,SLC and equiv.,4,2,Dang,J,9311
10775,1813,6,2,Female,24,Daughter-in-law,Class 12 and Intermediate,1,18,Bhaktapur,A,310
10776,1814,4,1,Male,28,Spouse,SLC and equiv.,1,12,India,F,5120
10777,1814,16,1,Male,28,Son/Daughter,SLC and equiv.,1,8,India,F,5414
10778,1814,16,2,Female,27,Daughter-in-law,Class 8,5,8,India,9,9999
10779,1814,16,3,Male,7,Grand son/daughter,Class 1,5,8,India,,NA
10780,1814,13,1,Male,36,Spouse,Class 3,1,3,India,F,5414
10781,1814,13,2,Male,65,Father-in-law / mother-in-law,Illiterate,1,3,India,F,5153
10782,1814,5,1,Male,32,Spouse,Class 3,1,3,India,J,9211
10783,1814,5,2,Female,28,Brother/sister,Illiterate,1,3,India,J,9211
10784,1814,5,3,Female,15,Son/Daughter,Class 8,1,3,India,J,9211
10785,1814,5,4,Female,8,Son/Daughter,Class 1,5,3,India,,NA
10786,1814,5,5,Male,4,Son/Daughter,NA,5,3,India,,NA
10787,1814,17,1,Male,35,Brother/sister,Class 7,1,8,India,I,8322
10788,1814,17,2,Female,31,Daughter-in-law,Class 3,5,8,India,9,9999
10789,1814,17,3,Male,4,Other relatives,NA,5,8,India,,NA
10790,1814,17,4,Male,2,Other relatives,NA,5,8,India,,NA
10791,1814,2,1,Male,43,Spouse,Class 8,1,3,India,F,5414
10792,1814,7,1,Male,26,Son/Daughter,Class 4,1,4,India,G,6113
10793,1814,7,2,Female,21,Daughter-in-law,Class 8,5,4,India,9,9999
